City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
211,Ukiah,US,39.1502,-123.2078,88.38,26,0,4.61,clear sky
212,Matara,LK,5.9485,80.5353,76.48,90,100,10.47,overcast clouds
213,Esperance,AU,-33.8667,121.9,51.44,86,0,9.57,clear sky
214,Bubaque,GW,11.2833,-15.8333,81.91,77,99,11.48,overcast clouds
215,Port Alfred,ZA,-33.5906,26.891,67.17,93,75,1.01,broken clouds
216,Codrington,AU,-38.2667,141.9667,57.56,80,0,4.59,clear sky
217,Sam Phran,TH,13.727,100.2153,75.96,83,98,6.22,overcast clouds
218,La Peca,PE,-5.6111,-78.435,82.69,56,89,5.66,light rain
219,Saint-Philippe,RE,-21.3585,55.7679,69.39,78,56,9.69,broken clouds
220,Makat,KZ,47.6469,53.3463,48.58,51,95,11.7,overcast clouds
221,Saint-Pierre,RE,-21.3393,55.4781,69.48,78,75,4.61,broken clouds
222,Mehamn,NO,71.0357,27.8492,39.15,65,75,11.5,broken clouds
223,Belaya Gora,RU,68.5333,146.4167,2.79,100,95,0.65,overcast clouds
224,Pandan,PH,14.0453,124.1694,79.38,84,100,3.06,overcast clouds
225,Moree,AU,-29.4667,149.85,60.82,94,100,17.27,light rain
226,Dekar,BW,-21.5333,21.9333,66.38,65,87,7.4,overcast clouds
227,Ahipara,NZ,-35.1667,173.1667,60.44,56,42,13.06,scattered clouds
228,Srednekolymsk,RU,67.45,153.6833,4.23,94,100,11.65,overcast clouds
229,Puerto Madero,MX,14.7208,-92.4215,81.0,80,100,6.24,moderate rain
230,Kaniama,CD,-7.5667,24.1833,65.25,86,100,4.12,overcast clouds
231,Faanui,PF,-16.4833,-151.75,77.38,79,30,15.77,light rain
232,Thompson,CA,55.7435,-97.8558,46.56,42,75,10.36,broken clouds
233,Olinda,BR,-8.0089,-34.8553,80.33,69,40,6.91,scattered clouds
234,Nador,MA,35.174,-2.9287,70.05,94,0,3.44,clear sky
235,Xiaoweizhai,CN,26.1903,107.5125,49.32,51,65,4.68,broken clouds
236,Port Moresby,PG,-9.4431,147.1797,80.02,78,20,5.75,haze
237,Luderitz,NA,-26.6481,15.1594,60.69,84,22,11.65,few clouds
238,Akyab,MM,20.15,92.9,76.01,85,86,6.15,overcast clouds
239,Sinnamary,GF,5.3833,-52.95,80.08,82,100,9.28,overcast clouds
240,Nuevitas,CU,21.5453,-77.2644,81.32,79,29,0.78,scattered clouds
241,Pevek,RU,69.7008,170.3133,8.83,89,100,3.85,overcast clouds
242,Talara,PE,-4.5772,-81.2719,70.56,64,0,14.97,clear sky
243,Huntington,US,38.4193,-82.4452,46.11,63,99,10.0,overcast clouds
244,Hami,CN,42.8,93.45,53.56,24,92,2.82,overcast clouds
245,Viedma,AR,-40.8135,-62.9967,62.01,56,7,17.98,clear sky
246,Narasannapeta,IN,18.4167,84.05,75.83,86,88,5.99,overcast clouds
247,Aksu,CN,41.1231,80.2644,55.29,20,95,2.24,overcast clouds
