City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
211,Chapayevka,UA,2022-10-15 16:59:30,47.4711,36.3451,44.87,55,6,8.75
212,Pitanga,BR,2022-10-15 16:59:31,-24.7572,-51.7614,61.54,92,100,6.93
213,Yanam,IN,2022-10-15 16:59:31,16.7333,82.2167,75.92,95,17,4.14
214,Tezu,IN,2022-10-15 16:59:31,27.9167,96.1667,71.89,81,1,3.47
215,Fuxin,CN,2022-10-15 16:59:32,42.0156,121.6589,50.74,28,68,15.32
216,Xunchang,CN,2022-10-15 16:59:32,28.4543,104.715,62.67,74,99,0.34
217,Lagoa,PT,2022-10-15 16:59:32,39.05,-27.9833,67.08,63,92,21.92
218,Samarai,PG,2022-10-15 16:59:33,-10.6167,150.6667,80.35,84,64,10.33
219,Thompson,CA,2022-10-15 16:59:33,55.7435,-97.8558,33.96,93,100,13.8
220,Ayna,PE,2022-10-15 16:59:33,-12.65,-73.9167,67.78,74,100,5.14
221,Khovu-Aksy,RU,2022-10-15 16:59:34,51.1333,93.6,25.48,47,0,4.97
222,Rockland,US,2022-10-15 16:59:34,41.1668,-74.0496,69.24,48,43,1.99
223,Vitim,RU,2022-10-15 16:59:35,59.4511,112.5578,28.72,85,100,5.41
224,Poum,NC,2022-10-15 16:59:35,-20.2333,164.0167,73.53,74,40,8.48
225,Atar,MR,2022-10-15 16:59:35,20.5169,-13.0499,96.84,19,46,11.18
226,Mount Gambier,AU,2022-10-15 16:59:36,-37.8333,140.7667,43.66,97,49,2.95
227,Rincon,US,2022-10-15 17:00:36,32.296,-81.2354,79.92,36,0,5.75
228,Brae,GB,2022-10-15 17:00:37,60.3964,-1.353,49.14,88,99,16.58
229,Vilyuysk,RU,2022-10-15 17:00:37,63.7553,121.6247,21.56,96,98,5.46
230,Bondoukou,CI,2022-10-15 17:00:37,8.0333,-2.8,71.78,96,100,3.38
231,Kodiak,US,2022-10-15 17:00:38,57.79,-152.4072,47.71,93,100,5.75
232,Abdanan,IR,2022-10-15 17:00:38,32.9926,47.4198,73.8,22,7,2.73
233,Pustoshka,RU,2022-10-15 17:00:39,56.3355,29.369,46.53,84,14,8.86
234,Joensuu,FI,2022-10-15 17:00:39,62.6012,29.7632,48.69,93,100,10.36
235,Turukhansk,RU,2022-10-15 17:00:39,65.8167,87.9833,31.57,79,100,12.03
236,Margate,GB,2022-10-15 17:00:40,51.3813,1.3862,60.31,76,100,5.99
237,Paamiut,GL,2022-10-15 17:00:40,61.994,-49.6678,36.86,73,0,20.6
238,Carnarvon,AU,2022-10-15 17:00:41,-24.8667,113.6333,65.37,74,0,15.68
239,Staryy Nadym,RU,2022-10-15 17:00:41,65.6118,72.6842,35.55,89,86,7.87
240,Voh,NC,2022-10-15 17:00:42,-20.9667,164.7,69.28,77,61,4.43
241,Ambositra,MG,2022-10-15 17:00:42,-20.5167,47.25,53.08,95,8,4.21
242,Arlit,NE,2022-10-15 17:00:42,18.7369,7.3853,94.51,8,0,6.62
243,Tilichiki,RU,2022-10-15 17:00:43,60.4667,166.1,31.06,97,100,5.82
244,Kununurra,AU,2022-10-15 17:00:43,-15.7667,128.7333,80.58,69,75,5.75
245,Richards Bay,ZA,2022-10-15 17:00:44,-28.783,32.0377,69.03,72,100,8.41
246,Kieta,PG,2022-10-15 17:00:44,-6.2167,155.6333,78.96,83,99,3.6
247,Solnechnyy,RU,2022-10-15 17:00:45,50.7214,136.6319,43.41,97,100,4.16
248,Provideniya,RU,2022-10-15 17:00:45,64.3833,-173.3,26.15,76,69,11.81
249,Pimentel,PE,2022-10-15 17:00:46,-6.8367,-79.9342,66.31,73,57,13.71
