City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
473,Mwense,ZM,76.75,clear sky,-10.3845,28.698,Mwense Council Guest House
475,San Andres,CO,82.99,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
484,Nanakuli,US,87.03,clear sky,21.3906,-158.1547,Camp Pālehua
493,North Bend,US,76.24,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
498,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
509,Ende,ID,78.58,moderate rain,-8.8432,121.6623,Dwi Putra Hotel - Ende
517,Celestun,MX,77.36,moderate rain,20.8667,-90.4,Posada Lilia
520,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
523,Ondjiva,AO,79.75,broken clouds,-17.0667,15.7333,COMBUESA
528,Trairi,BR,78.85,scattered clouds,-3.2778,-39.2689,janelas do mar
530,San Ramon,US,84.33,clear sky,37.7799,-121.978,San Ramon Marriott
536,Miri,MY,75.25,light rain,4.4148,114.0089,"Mega Hotel, Miri"
539,Laguna,US,88.09,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
541,Fomboni,KM,76.12,clear sky,-12.28,43.7425,Auberge les abou
545,Muscat,OM,78.82,broken clouds,23.6139,58.5922,Mutrah Hotel
548,Kudahuvadhoo,MV,80.56,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
549,Amahai,ID,79.79,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
556,Samana,DO,79.57,clear sky,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
558,Oussouye,SN,80.24,light rain,12.485,-16.5469,Auberge du Routard
566,Salinopolis,BR,81.3,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
567,Vila Velha,BR,75.15,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
570,Ormara,PK,79.63,broken clouds,25.2088,64.6357,Kenara Colony House for Rent
575,Jega,NG,82.2,scattered clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
576,Barinas,VE,79.09,broken clouds,8.6226,-70.2075,Hotel Mastranto Suite
582,Maumere,ID,81.18,overcast clouds,-8.6199,122.2111,Sylvia Hotel
587,Andros Town,BS,84.16,overcast clouds,24.7,-77.7667,Hanks place
590,Dwarka,IN,80.35,few clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
595,Carauari,BR,78.51,broken clouds,-4.8828,-66.8958,Hotel Fellip
596,Portland,US,76.98,smoke,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
599,Male,MV,80.55,broken clouds,4.1748,73.5089,Hotel Octave Maldives
600,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
601,Meulaboh,ID,75.72,moderate rain,4.1363,96.1285,Kost Pria
604,Oistins,BB,81.09,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
610,Basoko,CD,75.0,overcast clouds,1.2391,23.616,Jackyna Hotel
612,Pantai Remis,MY,78.28,overcast clouds,4.4557,100.6288,Leisure Homestay
619,Porto Velho,BR,77.05,few clouds,-8.7619,-63.9039,Ecos Hotel Conforto
621,Samarai,PG,83.23,scattered clouds,-10.6167,150.6667,Nuli Sapi
623,Arlit,NE,82.49,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
626,Papetoai,PF,81.99,light rain,-17.4961,-149.8729,Fare Vaihere
627,Ternate,ID,81.07,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
628,Maceio,BR,76.46,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
629,Haapiti,PF,82.13,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
631,Siavonga,ZM,79.03,scattered clouds,-16.5382,28.7088,Lavongora Waterfront Lodge
637,Pochutla,MX,75.02,light rain,15.7432,-96.4661,Hotel Posada San Jose
640,Sabang,ID,80.64,overcast clouds,5.8933,95.3214,Hotel Citra
641,Kirakira,SB,84.52,scattered clouds,-10.4544,161.9205,SanBiz Lodge
647,Isangel,VU,78.28,scattered clouds,-19.55,169.2667,Tanna Lodge
656,Qena,EG,75.65,clear sky,26.1615,32.7183,"Grand hotel ""Quena"""
658,Muli,MV,80.71,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
661,Gouyave,GD,80.42,clear sky,12.1646,-61.7296,Rumboat Retreat
663,Port Keats,AU,83.28,overcast clouds,-14.25,129.55,Kardu Durrikardu Numida Hostel
669,Corn Island,NI,82.92,overcast clouds,12.1694,-83.0418,Big Fish Guest House
